noc,iso_code,total_medals,gold_medals,silver_medals,bronze_medals,games_participated
NOR,NOR,405,147,134,124,24
USA,USA,327,114,118,95,24
GER,DEU,286,113,103,70,16
AUT,AUT,251,71,89,91,24
CAN,CAN,225,77,72,76,24
URS,RUS,192,77,56,59,9
SWE,SWE,177,65,51,61,24
FIN,FIN,175,45,65,65,24
SUI,CHE,167,63,47,57,23
NED,NLD,147,53,49,45,17
ITA,ITA,141,42,43,56,20
FRA,FRA,138,42,41,55,23
RUS,RUS,118,45,39,34,6
GDR,DEU,110,39,36,35,6
KOR,KOR,79,33,30,16,9
CHN,CHN,77,22,32,23,9
JPN,JPN,76,17,29,30,14
ROC,RUS,49,7,18,24,2
FRG,DEU,39,11,15,13,6
CZE,CZE,34,10,11,13,7
